









Frequency of observations in the selected location(s).:
Number of taxa: 	604

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Eurasian/American Wigeon (<em class="sci">Mareca penelope/americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44E-5	0.0	9.12E-5	0.0015	0.0	0.0	0.0	0.0	2.904E-4	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.3159851	0.2811594	0.2766291	0.2863002	0.2979087	0.2686567	0.2757104	0.3330284	0.3538035	0.3557659	0.3370385	0.3491957	0.380518	0.3871851	0.3709239	0.3391033	0.3287464	0.2913835	0.3316909	0.3422324	0.3677982	0.3689628	0.3524497	0.3342228	0.3048519	0.3033708	0.2881049	0.2776264	0.2798026	0.2589641	0.2877676	0.2754446	0.3032214	0.2924439	0.2980605	0.3090291	0.3284741	0.3445164	0.3643469	0.3808783	0.3621027	0.3677019	0.3667216	0.3617886	0.3859015	0.3615091	0.3093661	0.3107618	
American Black Duck (<em class="sci">Anas rubripes</em>)	0.2201757	0.2489855	0.2359023	0.232431	0.2360222	0.2039801	0.1870771	0.2159195	0.1830428	0.1987382	0.1766574	0.1601877	0.1521483	0.1185652	0.0948822	0.067395	0.0530612	0.0520354	0.0439353	0.0473571	0.052943	0.0566112	0.0695025	0.0643763	0.0545298	0.0713239	0.0556309	0.0520739	0.0694761	0.060425	0.0654434	0.0652667	0.0711872	0.0604862	0.0710628	0.091802	0.1099016	0.134561	0.1540595	0.2	0.2095355	0.2173913	0.2293245	0.2200929	0.2295526	0.2297039	0.226427	0.2315599	
Mallard x American Black Duck (hybrid) (<em class="sci">Anas platyrhynchos x rubripes</em>)	0.0074349	0.0075362	0.0075188	0.00793	0.006402	0.0072713	0.0060893	0.0064044	0.0114897	0.0094637	0.0063517	0.0049151	0.0050029	0.0035597	0.0040761	0.0059591	0.0044315	0.0039465	0.0027921	0.004293	0.0037372	0.0047506	0.0041777	0.0050033	0.003435	0.0058622	0.0076888	0.0033303	0.001139	0.002324	0.0042813	0.0047295	0.0056319	0.0032033	0.0034135	0.0042501	0.0045437	0.0052876	0.0041183	0.0085603	0.00489	0.0062112	0.0075783	0.0052265	0.0067781	0.0052531	0.0119836	0.0069528	
Mallard/American Black Duck (<em class="sci">Anas platyrhynchos/rubripes</em>)	0.0074349	0.0095652	0.0062657	0.0071097	0.0076825	0.0053578	0.0067659	0.0096066	0.0087163	0.0066597	0.0055578	0.0080429	0.0064744	0.004655	0.0036232	0.0053916	0.0041983	0.0038003	0.0024637	0.0024148	0.0024914	0.0059382	0.0075959	0.0036691	0.0064405	0.0063508	0.0036183	0.0075689	0.0053151	0.0049801	0.0079511	0.0075672	0.0074341	0.0052761	0.006827	0.0065168	0.0056797	0.0061081	0.0064717	0.0095609	0.0117359	0.010559	0.0121911	0.0133566	0.0198825	0.0152818	0.0151372	0.0078597	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.0861778	0.0823188	0.0889724	0.0560569	0.0580452	0.0524302	0.0605548	0.0667887	0.0804279	0.063442	0.0666931	0.0478105	0.0214832	0.0117744	0.0038496	0.0019864	5.831E-4	2.923E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015134	0.0054066	0.0062182	0.0178433	0.0441065	0.0663574	0.1177865	0.1512019	0.1983324	0.1848411	0.1965839	0.1660626	0.17741	0.1608676	0.1313276	0.0706402	0.0970375	
Green-winged Teal (<em class="sci">Anas crecca</em>)	0.0858398	0.0591304	0.0733083	0.0511348	0.049936	0.0642939	0.0822057	0.110247	0.1354992	0.1514196	0.1544264	0.1452189	0.1480283	0.1204819	0.0812953	0.0507946	0.0234402	0.0100855	0.0062413	0.0034881	0.0056057	0.0051465	0.0026586	0.0013342	4.294E-4	9.77E-4	0.0022614	0.0045413	0.0056948	0.0083001	0.0131498	0.0221339	0.0488849	0.0676465	0.0958883	0.1198527	0.137164	0.1653751	0.1773407	0.2423569	0.2344743	0.2425466	0.2009885	0.1913473	0.1509263	0.1193887	0.0832545	0.0858525	
Anas sp. (<em class="sci">Anas sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
teal sp. (<em class="sci">Anatidae sp. (teal sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.342E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.892E-4	0.0	0.0	3.103E-4	2.833E-4	2.84E-4	9.12E-5	8.4E-5	1.112E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp. (<em class="sci">Anatidae sp. (dabbling duck sp.)</em>)	0.0032105	0.0069565	0.0031328	0.0032814	0.0034144	0.003827	0.0013532	0.0032022	0.0043582	0.0042061	0.0015879	0.0024576	0.0029429	0.0027382	0.0018116	5.675E-4	5.831E-4	7.308E-4	4.106E-4	6.708E-4	3.114E-4	7.918E-4	0.0015192	3.336E-4	4.294E-4	9.77E-4	4.523E-4	0.001211	0.0018983	6.64E-4	9.174E-4	0.003216	0.0011264	0.002638	0.0035687	0.0045334	0.0052064	0.00547	0.0075643	0.0121178	0.0154034	0.013354	0.0098847	0.0081301	0.0126525	0.0090735	0.0066225	0.0048368	
