









Frequency of observations in the selected location(s).:
Number of taxa: 	929

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Canada Goose (<em class="sci">Branta canadensis</em>)	0.3293132	0.3307991	0.316485	0.2950433	0.2969399	0.2475334	0.2248054	0.3820331	0.4363493	0.5007346	0.495379	0.4891686	0.478476	0.4732102	0.4608635	0.4598804	0.4275851	0.3927632	0.3670551	0.3223401	0.2600247	0.1979641	0.1602693	0.1430516	0.1452234	0.1738917	0.2039278	0.2402952	0.2484376	0.2497053	0.2489289	0.249873	0.268347	0.2984828	0.3404967	0.371736	0.3888178	0.4012858	0.3900301	0.3880945	0.3769007	0.3668643	0.3669339	0.3720313	0.3718446	0.3568694	0.3266531	0.3186879	
Swan x Canada Goose (hybrid) (<em class="sci">Anser cygnoides x Branta canadensis</em>)	9.3E-6	2.54E-5	0.0	2.04E-5	1.46E-5	6.63E-5	1.51E-5	1.29E-5	0.0	2.23E-5	1.11E-5	1.51E-5	1.91E-5	1.84E-5	0.0	1.37E-5	1.4E-5	1.34E-5	7.7E-6	2.16E-5	4.85E-5	1.3E-5	1.38E-5	0.0015	0.0	1.69E-5	0.0	1.27E-5	1.77E-5	0.0	0.0	5.64E-5	4.34E-5	2.97E-5	1.46E-5	1.23E-5	2.94E-5	2.76E-5	7.6E-5	1.13E-5	4.72E-5	0.0	0.0015	5.39E-5	3.76E-5	1.86E-5	1.58E-5	0.0	
Greater White-fronted x Canada Goose (hybrid) (<em class="sci">Anser albifrons x Branta canadensis</em>)	1.86E-5	0.0	2.5E-5	3.05E-5	1.463E-4	1.1E-5	7.6E-6	3.87E-5	1.25E-5	8.9E-5	1.777E-4	0.0	9.6E-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47E-5	1.38E-5	3.04E-5	3.39E-5	1.57E-5	4.89E-5	0.0	0.0	3.76E-5	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid) (<em class="sci">Anser anser x Branta canadensis</em>)	1.118E-4	1.269E-4	1.502E-4	1.73E-4	1.316E-4	1.326E-4	5.3E-5	1.29E-4	1.379E-4	5.57E-5	4.44E-5	3.03E-5	8.6E-5	6.43E-5	9.6E-6	5.49E-5	4.9E-5	4.01E-5	5.4E-5	2.88E-5	2.43E-5	0.0	6.88E-5	2.41E-5	3.0E-5	0.0	1.78E-5	2.53E-5	8.83E-5	8.93E-5	6.94E-5	2.26E-5	5.78E-5	4.46E-5	1.606E-4	3.68E-5	1.03E-4	8.28E-5	3.04E-5	1.356E-4	1.101E-4	2.443E-4	1.926E-4	2.022E-4	2.822E-4	1.858E-4	1.421E-4	5.62E-5	
Domestic goose sp. x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	1.397E-4	1.65E-4	6.26E-5	5.09E-5	1.463E-4	1.657E-4	3.03E-5	5.16E-5	7.52E-5	1.224E-4	1.555E-4	1.21E-4	2.006E-4	1.562E-4	1.824E-4	1.441E-4	1.47E-4	1.001E-4	1.235E-4	5.05E-5	7.28E-5	1.04E-4	8.26E-5	4.82E-5	7.49E-5	6.77E-5	1.78E-5	7.59E-5	1.77E-5	1.429E-4	1.214E-4	4.51E-5	2.89E-5	8.92E-5	1.314E-4	9.82E-5	1.177E-4	1.104E-4	7.6E-5	2.148E-4	2.359E-4	1.14E-4	1.926E-4	2.022E-4	2.069E-4	2.973E-4	1.579E-4	1.349E-4	
Snow x Canada Goose (hybrid) (<em class="sci">Anser caerulescens x Branta canadensis</em>)	8.38E-5	8.88E-5	1.126E-4	2.545E-4	1.316E-4	3.31E-5	4.54E-5	1.161E-4	4.387E-4	3.339E-4	2.111E-4	3.03E-5	0.0	9.2E-6	9.6E-6	0.0	0.0	0.0	0.0	7.2E-6	2.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49E-5	1.46E-5	2.45E-5	1.177E-4	2.069E-4	1.671E-4	1.922E-4	1.887E-4	2.117E-4	1.401E-4	8.09E-5	7.52E-5	1.672E-4	7.9E-5	1.125E-4	
Barnacle x Canada Goose (hybrid) (<em class="sci">Branta leucopsis x canadensis</em>)	0.0	0.0	1.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88E-5	0.0	0.0	0.0	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	7.078E-4	5.712E-4	5.882E-4	5.802E-4	5.266E-4	5.303E-4	4.312E-4	5.677E-4	8.272E-4	9.684E-4	5.554E-4	3.101E-4	3.82E-5	4.6E-5	1.92E-5	4.12E-5	1.4E-5	1.34E-5	1.54E-5	2.16E-5	2.43E-5	2.6E-5	0.0	0.0	0.0	3.39E-5	0.0	0.0015	0.0	0.0	0.0	2.26E-5	1.45E-5	0.0	8.76E-5	1.227E-4	3.972E-4	4.001E-4	6.533E-4	6.669E-4	6.29E-4	6.678E-4	8.753E-4	9.435E-4	0.0010722	0.0011706	6.159E-4	8.209E-4	
Red-breasted Goose (<em class="sci">Branta ruficollis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Branta sp. (<em class="sci">Branta sp.</em>)	0.0	0.0	0.0	2.04E-5	0.0	0.0015	0.0	0.0	3.76E-5	0.0015	1.11E-5	0.0	0.0	0.0	9.6E-6	2.74E-5	2.1E-5	6.7E-6	7.7E-6	0.0015	0.0	0.0	0.0	1.2E-5	0.0	0.0	0.0	0.0015	0.0	1.79E-5	0.0	0.0	1.45E-5	1.49E-5	2.92E-5	0.0	0.0	0.0	3.04E-5	2.26E-5	0.0	1.63E-5	3.5E-5	0.0	1.88E-5	3.72E-5	0.0	0.0	
